# Experiment: kinetic_v2
# Description: Kinetic energy penalty -20
# Reward change: +r_kinetic(-20) near box
# Box type: kinematic
# X axis: trainer_timestep (1 timestep = 4096 env steps)
# Y axis: see column headers
trainer_timestep,progress_pct,Total_reward_mean,overlap_ratio,r_success,xy_err
2441,5.6,14107.0625,0.2213742882013321,0.0920553207397461,0.21155321598052979
4882,11.1,16546.478515625,0.2425595372915268,0.10698780417442322,0.1971593201160431
7323,16.7,15889.560546875,0.23297983407974243,0.10371726006269455,0.20085930824279785
9764,22.2,14201.388671875,0.20485441386699677,0.09135019779205322,0.233810156583786
12205,27.8,10213.8935546875,0.15425869822502136,0.06437571346759796,0.30019527673721313
14646,33.3,13592.3916015625,0.18663553893566132,0.07754790037870407,0.2477341592311859
17087,38.9,16765.701171875,0.21699655055999756,0.09446071833372116,0.21121537685394287
19528,44.4,16562.509765625,0.20569513738155365,0.09003998339176178,0.21174122393131256
21969,50.0,13897.5048828125,0.15209436416625977,0.0642256885766983,0.2568471431732178
24410,55.6,13792.3349609375,0.14820705354213715,0.061580248177051544,0.25216567516326904
26851,61.1,13350.0517578125,0.13964541256427765,0.058344706892967224,0.27380967140197754
29292,66.7,13147.8076171875,0.13679130375385284,0.056809451431035995,0.2768973112106323
31733,72.2,11420.8955078125,0.1190723404288292,0.04675278067588806,0.2904582619667053
34174,77.8,10918.7841796875,0.11641056835651398,0.04678778722882271,0.3064993619918823
36615,83.3,11700.736328125,0.12518471479415894,0.05007833242416382,0.3081744313240051
39056,88.9,11479.80078125,0.12994858622550964,0.05066842958331108,0.3259364664554596
41497,94.4,12827.65625,0.14577871561050415,0.06016001105308533,0.2994021475315094
43938,100.0,13566.6689453125,0.15914134681224823,0.06632603704929352,0.2730445861816406
