step,Total reward (mean),overlap_ratio,r_success,r_contain,xy_err,r_dock_bonus
2441,5865.9771,0.0904,0.0254,4.6618,100.8499,1.8629
4882,7076.0356,0.0896,0.0264,4.6105,16.7344,1.8322
7323,4963.1777,0.0603,0.0157,3.0552,22.5355,1.1988
9764,6758.0444,0.0861,0.0243,4.4395,17.8115,1.7490
12205,7189.3901,0.0863,0.0246,4.4698,14.6686,1.7551
14646,6461.7720,0.0742,0.0208,3.8317,20.6364,1.5003
17087,7339.1284,0.0952,0.0265,4.9233,16.3538,1.9358
19528,7572.9849,0.0990,0.0281,5.1155,15.0190,2.0175
21969,6828.0093,0.0863,0.0237,4.4454,15.3378,1.7433
24410,6334.2007,0.0840,0.0225,4.2962,15.7793,1.6768
26851,7090.6392,0.0921,0.0258,4.7429,16.2607,1.8534
29292,6261.9077,0.0728,0.0192,3.6959,20.6814,1.4325
31733,5820.0396,0.0723,0.0189,3.6833,19.7331,1.4312
34174,5844.9189,0.0692,0.0180,3.5007,16.5194,1.3587
36615,3421.7932,0.0422,0.0097,2.1091,20.5665,0.8095
39056,3225.6702,0.0416,0.0097,2.0916,19.2178,0.8009
41497,3111.0203,0.0493,0.0111,2.4361,19.9383,0.9433
43938,3849.9951,0.0544,0.0131,2.7104,18.4877,1.0547
46379,3616.7817,0.0530,0.0120,2.6180,16.4140,1.0163
48820,3579.6155,0.0505,0.0112,2.5045,17.1633,0.9712
51261,3151.0864,0.0465,0.0097,2.2516,16.4948,0.8672
53702,3065.4211,0.0453,0.0090,2.1897,15.2008,0.8408
56143,2812.4504,0.0412,0.0081,1.9864,15.1838,0.7605
58584,2257.7007,0.0358,0.0060,1.6544,18.1330,0.6340
61025,1513.9800,0.0225,0.0029,0.9688,20.5630,0.3696
63466,1949.6113,0.0310,0.0043,1.3962,17.7983,0.5363
65907,1880.8250,0.0316,0.0044,1.4322,18.2027,0.5479
