step,Total reward (mean),overlap_ratio,r_success,r_contain,xy_err,r_dock_bonus
1220,3532.0120,0.2888,0.0808,7.4533,59.9202,3.1213
2440,4576.5815,0.3321,0.1046,8.5687,7.5815,3.5875
3660,4521.3555,0.3344,0.1056,8.6236,7.0212,3.6074
4880,4690.7080,0.3377,0.1084,8.7127,7.3042,3.6477
6100,4660.1172,0.3355,0.1067,8.6749,6.8451,3.6429
7320,4384.7124,0.3145,0.0929,8.1085,7.4870,3.3903
8540,4165.6831,0.2961,0.0856,7.6563,8.4542,3.2144
9760,4137.4873,0.2912,0.0839,7.5271,8.6363,3.1588
10980,4020.8242,0.2902,0.0823,7.5030,8.6531,3.1496
12200,3889.1274,0.2840,0.0777,7.3374,8.8044,3.0779
13420,3981.8562,0.2981,0.0826,7.6985,8.2753,3.2270
14640,3923.9446,0.2945,0.0821,7.6127,8.5598,3.1951
15860,3690.3896,0.2908,0.0800,7.5062,8.9429,3.1446
17080,3602.9670,0.2926,0.0794,7.5667,8.5748,3.1784
18300,3671.4392,0.3099,0.0842,8.0300,8.3582,3.3818
19520,3773.6079,0.3316,0.0934,8.5855,6.6448,3.6122
20740,3635.5122,0.3428,0.0921,8.8735,5.8909,3.7320
21960,3749.6294,0.3480,0.0976,9.0173,5.7952,3.7979
23180,3662.3975,0.3220,0.0922,8.3182,7.6302,3.4886
24400,3177.4153,0.2905,0.0730,7.4855,8.1768,3.1279
25620,3370.3430,0.3092,0.0806,7.9631,7.1714,3.3252
26840,3338.9624,0.3096,0.0840,7.9795,7.1590,3.3351
28060,3199.6782,0.2954,0.0767,7.5834,7.0831,3.1518
29280,3468.3030,0.3007,0.0848,7.7419,7.3924,3.2309
30500,3388.0164,0.2995,0.0795,7.7118,7.6164,3.2197
31720,3499.3154,0.3030,0.0835,7.8072,7.5483,3.2629
32940,3389.6741,0.2849,0.0750,7.3447,8.7042,3.0705
34160,3608.2776,0.2903,0.0802,7.5026,9.7796,3.1487
35380,3867.5334,0.2923,0.0859,7.5544,9.8743,3.1700
36600,3953.2620,0.2913,0.0871,7.5308,11.1425,3.1614
37820,3962.1672,0.2862,0.0866,7.3895,10.3329,3.0972
39040,3934.0645,0.2895,0.0869,7.4610,10.8122,3.1192
40260,3843.1326,0.2890,0.0857,7.4592,11.1587,3.1235
41480,3725.6501,0.2827,0.0798,7.2805,10.8263,3.0401
42700,3746.5508,0.2825,0.0808,7.2807,11.3845,3.0435
43920,3835.3171,0.2918,0.0847,7.5209,9.6264,3.1445
45140,3753.9563,0.2861,0.0802,7.3619,9.4934,3.0702
46360,4000.0752,0.2922,0.0893,7.5181,8.5536,3.1356
47580,3834.4812,0.2838,0.0839,7.2648,9.7894,3.0077
48800,3763.7510,0.2809,0.0810,7.2038,10.4785,2.9898
50020,3903.5999,0.2874,0.0852,7.3904,10.0150,3.0801
51240,3955.7351,0.2864,0.0857,7.3668,10.3967,3.0712
52460,3897.4224,0.2784,0.0845,7.1238,10.2401,2.9474
53680,3506.5737,0.2414,0.0711,6.1536,10.2023,2.5319
54900,3293.7842,0.2304,0.0635,5.8604,10.0939,2.4051
56120,3509.9255,0.2506,0.0696,6.3710,10.0415,2.6120
57340,3651.7473,0.2614,0.0746,6.6523,10.5040,2.7312
58560,3930.3066,0.2814,0.0848,7.1983,10.8812,2.9775
59780,3914.4336,0.2816,0.0832,7.2039,10.9830,2.9792
