step,Total reward (mean),overlap_ratio,r_success,r_contain,xy_err,r_dock_bonus
2441,8042.5625,0.1525,0.0482,3.6937,0.2696,1.4063
4882,10032.9629,0.1606,0.0480,3.6942,0.2907,1.2855
7323,11412.3408,0.1630,0.0452,3.6490,0.2861,1.2038
9764,10740.2139,0.1539,0.0434,3.4698,0.3084,1.1615
12205,11808.8037,0.1609,0.0452,3.6177,0.2621,1.2036
14646,11557.0566,0.1605,0.0442,3.5992,0.2489,1.1924
17087,12047.8906,0.1746,0.0497,3.9197,0.2393,1.3000
19528,11686.3008,0.1662,0.0463,3.7279,0.2436,1.2345
21969,11710.4863,0.1726,0.0512,3.9293,0.2438,1.3399
24410,11234.1797,0.1778,0.0543,4.0764,0.2452,1.4091
26851,10797.0605,0.1592,0.0455,3.5993,0.2548,1.2112
29292,10527.6855,0.1604,0.0474,3.6885,0.2586,1.2831
31733,10475.3291,0.1694,0.0536,3.9397,0.2486,1.3987
34174,10726.4492,0.1820,0.0580,4.2275,0.2396,1.4969
36615,11459.7529,0.1842,0.0572,4.2270,0.2226,1.4641
39056,11067.9102,0.1771,0.0508,3.9827,0.2142,1.3269
41497,11604.7070,0.1794,0.0511,4.0111,0.2103,1.3195
43938,10694.7500,0.1625,0.0451,3.6172,0.2196,1.1800
46379,11432.2422,0.1710,0.0506,3.9081,0.2133,1.3424
48820,11401.3301,0.1790,0.0559,4.1254,0.2061,1.4406
51261,11307.5547,0.1805,0.0534,4.0873,0.2219,1.3795
53702,11087.9033,0.1810,0.0502,4.0348,0.2147,1.3200
56143,11449.8086,0.1802,0.0480,3.9797,0.2138,1.2761
58584,11544.0010,0.1744,0.0475,3.8773,0.2199,1.2607
61025,11496.4961,0.1753,0.0505,3.9886,0.2273,1.3591
63466,11488.8145,0.1905,0.0572,4.3720,0.2150,1.5145
65907,11332.9395,0.1969,0.0592,4.5016,0.2208,1.5488
68348,11299.8369,0.1902,0.0561,4.3305,0.2236,1.4770
70789,11664.8682,0.1983,0.0590,4.5338,0.2127,1.5598
73230,11422.2637,0.1933,0.0586,4.4188,0.2480,1.5190
75671,11274.6348,0.1884,0.0553,4.2795,0.2355,1.4528
78112,11286.5195,0.1855,0.0525,4.1747,0.2374,1.3920
80553,11093.7461,0.1786,0.0506,4.0177,0.2414,1.3383
82994,11089.7676,0.1803,0.0546,4.1282,0.2556,1.4230
85435,10931.7021,0.1784,0.0544,4.0988,0.2614,1.4232
87876,10888.7754,0.1806,0.0547,4.1162,0.2488,1.4074
90317,11092.9287,0.1767,0.0521,4.0083,0.2589,1.3583
92758,11477.0898,0.1685,0.0486,3.7929,0.2487,1.2660
95199,10764.5625,0.1600,0.0476,3.6276,0.2854,1.2275
97640,10512.3174,0.1556,0.0467,3.5636,0.2990,1.2292
100081,10205.4609,0.1513,0.0466,3.4888,0.3185,1.2187
102522,9949.5488,0.1509,0.0457,3.4554,0.2904,1.1922
104963,9779.3027,0.1569,0.0463,3.5610,0.2985,1.2074
107404,9825.1787,0.1565,0.0446,3.5249,0.3383,1.1771
109845,9544.8047,0.1423,0.0384,3.1776,0.3482,1.0427
112286,10214.1309,0.1521,0.0442,3.4438,0.3421,1.1618
114727,9103.1084,0.1311,0.0376,2.9525,0.4920,0.9859
117168,9940.8369,0.1366,0.0410,3.1412,0.4983,1.0917
119609,10132.0820,0.1458,0.0451,3.3728,0.4111,1.1857
122050,10048.4336,0.1625,0.0498,3.7533,0.3129,1.3160
124491,10316.7354,0.1678,0.0491,3.8089,0.2801,1.2922
126932,9466.5146,0.1461,0.0390,3.2261,0.3283,1.0341
129373,8622.3203,0.1339,0.0381,3.0147,0.4774,1.0064
131814,8671.6152,0.1423,0.0417,3.2785,0.3888,1.1441
134255,9682.3623,0.1608,0.0498,3.7119,0.2991,1.2997
