config,Kp_x,Kd_x,Kp_y,Kd_y,descent_gate_center,descent_speed_near,descent_speed_far,z_damping_near,clamp,stuck_retry,dock_pct,overlap_lost_pct,no_descent_pct,far_pct,crash_pct,reached_5cm_pct,first_overlap_vz,episode_length_s,notes
"Kp=6 Kd=4.5 (initial)",6,4.5,6,4.5,0.15,-0.40,-0.40,4.0,6.0,no,24.7,19.1,8.8,32.5,0,55,-0.485,8,first pure analytical eval
"Kp=8 Kd=5",8,5,8,5,0.15,-0.40,-0.40,4.0,8.0,no,32.2,15.0,8.4,27.3,0,63,-0.418,8,Kp increase helped
"Kp=8 Kd=6.5",8,6.5,8,6.5,0.15,-0.40,-0.40,4.0,8.0,no,39.6,15.0,8.4,27.3,0,61,-0.418,8,dock rate jump
"Kp=8 Kd=7",8,7,8,7,0.15,-0.40,-0.40,4.0,8.0,no,39.8,15.0,8.4,27.3,0,58,-0.418,8,slight improvement
"Kp=8 Kd=7.5",8,7.5,8,7.5,0.15,-0.40,-0.40,4.0,8.0,no,38.1,15.0,8.4,27.3,0,54,-0.418,8,overdamped - dropped
"Kp=8 Kd=7 +adaptive_descent",8,7,8,7,0.15,-0.15,-0.40,4.0,8.0,no,46.8,12.6,10.7,29.9,0,55,-0.384,12,adaptive descent + 12s episode
"asymmetric Kp12/6 Kd8/5",12,8,6,5,0.15,-0.15,-0.40,4.0,8.0,no,49.2,15.0,8.4,27.3,0,56,-0.418,12,asymmetric gains best
"gate=10cm",12,8,6,5,0.10,-0.15,-0.40,4.0,8.0,no,52.7,12.3,9.0,26.1,0,56,-0.420,12,sharper gate sweet spot
"Z damping 4→8",12,8,6,5,0.10,-0.15,-0.40,8.0,8.0,no,51.1,14.6,7.4,26.8,0,56,-0.347,12,Z damping helped vz
"+stuck retry",12,8,6,5,0.10,-0.15,-0.40,8.0,8.0,yes,57.9,11.4,6.2,24.5,0,56,-0.347,12,stuck detection + pullup
"+stuck retry (eval fixed)",12,8,6,5,0.10,-0.15,-0.40,8.0,8.0,yes,63.8,7.2,7.9,21.1,0,56,-0.347,12,fixed eval reset bug - true performance
