# Experiment: 8s_sigmoid
# Description: Sigmoid xy_aligned threshold
# Reward change: +sigmoid staged descent
# Box type: kinematic
# X axis: trainer_timestep (1 timestep = 4096 env steps)
# Y axis: see column headers
trainer_timestep,progress_pct,Total_reward_mean,overlap_ratio,r_success,xy_err
2441,1.8,8042.5625,0.1524938941001892,0.04818301647901535,0.2696106731891632
4882,3.6,10032.962890625,0.1605777144432068,0.0479629822075367,0.29065823554992676
7323,5.5,11412.3408203125,0.16301049292087555,0.04521752521395683,0.28610116243362427
9764,7.3,10740.2138671875,0.1538873165845871,0.04336721450090408,0.30843204259872437
12205,9.1,11808.8037109375,0.16094237565994263,0.045247528702020645,0.26211556792259216
14646,10.9,11557.056640625,0.160452738404274,0.044242363423109055,0.2489049732685089
17087,12.7,12047.890625,0.17464271187782288,0.049668263643980026,0.2392571121454239
19528,14.5,11686.30078125,0.16623227298259735,0.04630770534276962,0.24359287321567535
21969,16.4,11710.486328125,0.17262744903564453,0.05124852806329727,0.24378934502601624
24410,18.2,11234.1796875,0.1778186708688736,0.05427403002977371,0.24524781107902527
26851,20.0,10797.060546875,0.15920820832252502,0.045512571930885315,0.2548474073410034
29292,21.8,10527.685546875,0.16036011278629303,0.047447893768548965,0.2586492896080017
31733,23.6,10475.3291015625,0.1693992167711258,0.05355891212821007,0.24862709641456604
34174,25.5,10726.44921875,0.18203940987586975,0.05801965296268463,0.2395562380552292
36615,27.3,11459.7529296875,0.18419520556926727,0.057159509509801865,0.22264909744262695
39056,29.1,11067.91015625,0.17705285549163818,0.05076344683766365,0.2142276167869568
41497,30.9,11604.70703125,0.17943823337554932,0.05108350142836571,0.21028074622154236
43938,32.7,10694.75,0.16248026490211487,0.04512250795960426,0.21958433091640472
46379,34.5,11432.2421875,0.17104953527450562,0.050598420202732086,0.2133232057094574
48820,36.4,11401.330078125,0.17898918688297272,0.05593430623412132,0.20610269904136658
51261,38.2,11307.5546875,0.1805161088705063,0.053423888981342316,0.22187846899032593
53702,40.0,11087.9033203125,0.18098480999469757,0.05019335076212883,0.2146749198436737
56143,41.8,11449.80859375,0.1802394539117813,0.048017989844083786,0.21382559835910797
58584,43.6,11544.0009765625,0.17444349825382233,0.04751290753483772,0.21989892423152924
61025,45.5,11496.49609375,0.1753002256155014,0.050493400543928146,0.2272844761610031
63466,47.3,11488.814453125,0.19049857556819916,0.057189516723155975,0.2149583101272583
65907,49.1,11332.939453125,0.19685229659080505,0.05917484685778618,0.22084611654281616
68348,50.9,11299.8369140625,0.19023314118385315,0.05609433352947235,0.22359560430049896
70789,52.7,11664.8681640625,0.1982661634683609,0.058989815413951874,0.21270689368247986
73230,54.5,11422.263671875,0.19331933557987213,0.058639757335186005,0.2480372041463852
75671,56.4,11274.634765625,0.18844442069530487,0.055264197289943695,0.23551392555236816
78112,58.2,11286.51953125,0.18551063537597656,0.05251874029636383,0.2373870462179184
80553,60.0,11093.74609375,0.17862758040428162,0.05064842849969864,0.24143141508102417
82994,61.8,11089.767578125,0.18034720420837402,0.054639093577861786,0.25556233525276184
85435,63.6,10931.7021484375,0.17837588489055634,0.05436904728412628,0.261434406042099
87876,65.5,10888.775390625,0.1805896908044815,0.05470910295844078,0.2487650215625763
90317,67.3,11092.9287109375,0.1766662895679474,0.052123673260211945,0.2589411735534668
92758,69.1,11477.08984375,0.16845984756946564,0.048633091151714325,0.2486991286277771
95199,70.9,10764.5625,0.16000305116176605,0.04763292521238327,0.28539326786994934
97640,72.7,10512.3173828125,0.15562638640403748,0.04674277827143669,0.29897528886795044
100081,74.5,10205.4609375,0.1513432413339615,0.04655274748802185,0.3185054063796997
102522,76.4,9949.548828125,0.1508791148662567,0.045692604035139084,0.29038581252098083
104963,78.2,9779.302734375,0.15690970420837402,0.046347711235284805,0.29854896664619446
107404,80.0,9825.1787109375,0.15652169287204742,0.04458741843700409,0.33832070231437683
109845,81.8,9544.8046875,0.14232534170150757,0.038371384143829346,0.3482254147529602
112286,83.6,10214.130859375,0.15213489532470703,0.04417235031723976,0.3420675992965698
114727,85.5,9103.1083984375,0.13110174238681793,0.03759625554084778,0.4920094311237335
117168,87.3,9940.8369140625,0.13663554191589355,0.041046831756830215,0.4983218312263489
119609,89.1,10132.08203125,0.14580917358398438,0.045132510364055634,0.4110890030860901
122050,90.9,10048.43359375,0.162484273314476,0.04983329400420189,0.31293925642967224
124491,92.7,10316.7353515625,0.16778042912483215,0.049118172377347946,0.2800748646259308
126932,94.5,9466.5146484375,0.14613355696201324,0.03900149092078209,0.3282899558544159
129373,96.4,8622.3203125,0.13388888537883759,0.038086336106061935,0.4774365723133087
131814,98.2,8671.615234375,0.14229367673397064,0.04171694070100784,0.3887787163257599
134255,100.0,9682.3623046875,0.1608092039823532,0.04976828023791313,0.2990652024745941
