# Experiment: safety_v1
# Description: Safety bonus mult=2.0
# Reward change: +safety_mult(2.0) on r_contain/dock/hold
# Box type: kinematic
# X axis: trainer_timestep (1 timestep = 4096 env steps)
# Y axis: see column headers
trainer_timestep,progress_pct,Total_reward_mean,overlap_ratio,r_success,xy_err
2441,1.0,10888.0615234375,0.16247159242630005,0.049943309277296066,0.24395187199115753
4882,2.0,12262.4365234375,0.173379048705101,0.05918484926223755,0.23849433660507202
7323,3.0,11502.78515625,0.16079190373420715,0.054409053176641464,0.2469063401222229
9764,4.0,11635.513671875,0.16294127702713013,0.05451907217502594,0.24790169298648834
12205,5.0,13640.892578125,0.19245152175426483,0.06698114424943924,0.2461501955986023
14646,6.0,12918.224609375,0.17732180655002594,0.05895480886101723,0.24977150559425354
17087,7.0,13008.6904296875,0.17827439308166504,0.058344706892967224,0.2534213066101074
19528,8.0,13620.3798828125,0.19633494317531586,0.07035170495510101,0.2591937780380249
21969,9.0,12329.61328125,0.17994046211242676,0.06608099490404129,0.29455113410949707
24410,10.0,13016.302734375,0.18936221301555634,0.06826135516166687,0.2866065502166748
26851,11.0,13845.935546875,0.20191839337348938,0.07377227395772934,0.2541881501674652
29292,12.0,13988.8349609375,0.19745630025863647,0.07177694141864777,0.2511482536792755
31733,13.0,14046.9814453125,0.20762790739536285,0.07723785191774368,0.2509217858314514
34174,14.0,13545.5810546875,0.20439741015434265,0.07632269710302353,0.2697579264640808
36615,15.0,12940.05859375,0.18805134296417236,0.06764625757932663,0.2915138006210327
39056,16.0,13630.6220703125,0.19792494177818298,0.07146189361810684,0.2567123472690582
41497,17.0,13708.9453125,0.20154204964637756,0.07466742396354675,0.25492870807647705
43938,18.0,14211.2939453125,0.20727287232875824,0.0774378851056099,0.23979942500591278
46379,19.0,13986.9013671875,0.20632605254650116,0.07818800956010818,0.24606065452098846
48820,20.0,13479.12109375,0.20120222866535187,0.07407732307910919,0.25095024704933167
51261,21.0,14549.2275390625,0.21625366806983948,0.07955323904752731,0.2366834282875061
53702,22.0,14561.3955078125,0.216761514544487,0.0816785916686058,0.2418593466281891
56143,23.0,14787.5234375,0.21735775470733643,0.0821886733174324,0.2474571019411087
58584,24.0,14155.697265625,0.21519383788108826,0.08197864145040512,0.26360955834388733
61025,25.0,14751.5419921875,0.22850392758846283,0.08718951046466827,0.2554410696029663
63466,26.0,14919.9189453125,0.23711155354976654,0.09144521504640579,0.24703757464885712
65907,27.0,13620.751953125,0.21743892133235931,0.08447905629873276,0.28108346462249756
68348,28.0,13238.9775390625,0.22060362994670868,0.08556424081325531,0.2749599814414978
70789,29.0,15134.71484375,0.24102696776390076,0.09548588842153549,0.22991974651813507
73230,30.0,14632.384765625,0.240355983376503,0.09527585655450821,0.22904282808303833
75671,31.0,14112.8076171875,0.23491936922073364,0.09153523296117783,0.23171669244766235
78112,32.0,14186.296875,0.23266494274139404,0.09006498754024506,0.237725630402565
80553,33.0,14766.2314453125,0.2399306446313858,0.09536586701869965,0.2430063784122467
82994,34.0,15003.4169921875,0.24246376752853394,0.09636103361845016,0.2376888543367386
85435,35.0,14943.58984375,0.24556946754455566,0.0990314781665802,0.22057537734508514
87876,36.0,14580.62890625,0.23844724893569946,0.0950058102607727,0.1987028270959854
90317,37.0,14905.8779296875,0.2438374012708664,0.09607598930597305,0.20058198273181915
92758,38.0,14567.21484375,0.23761354386806488,0.09354556351900101,0.20305655896663666
95199,39.0,14857.30859375,0.23752298951148987,0.09315050393342972,0.21308881044387817
97640,40.0,14897.1865234375,0.23759974539279938,0.09437570720911026,0.21448677778244019
100081,41.0,13586.94921875,0.21658915281295776,0.08524418622255325,0.23227865993976593
102522,42.0,14030.1748046875,0.21669724583625793,0.08513416349887848,0.24046875536441803
104963,43.0,13164.091796875,0.2022472769021988,0.08043838292360306,0.26343533396720886
107404,44.0,13082.251953125,0.19598262012004852,0.07935820519924164,0.26606693863868713
109845,45.0,13643.7001953125,0.20243802666664124,0.08145355433225632,0.2521211504936218
112286,46.0,14277.052734375,0.2094765156507492,0.08472409844398499,0.23514162003993988
114727,47.0,14206.2685546875,0.208017498254776,0.08197864145040512,0.23415301740169525
117168,48.0,15812.19921875,0.23926813900470734,0.09710615873336792,0.2089008092880249
119609,49.0,14906.6796875,0.2210891842842102,0.08886978775262833,0.21601614356040955
122050,50.0,15587.2294921875,0.22568760812282562,0.09320051223039627,0.20697906613349915
124491,51.0,15589.640625,0.2233094871044159,0.09347055107355118,0.2151096910238266
126932,52.0,14291.33203125,0.19693532586097717,0.08294380456209183,0.23302048444747925
129373,53.0,14418.76171875,0.2133524864912033,0.08953990042209625,0.21214503049850464
131814,54.0,13836.1357421875,0.2166803777217865,0.08947988599538803,0.2316420078277588
134255,55.0,13748.7763671875,0.21518926322460175,0.08797463774681091,0.22872574627399445
136696,56.0,14296.9560546875,0.2158215343952179,0.08767958730459213,0.21904538571834564
139137,57.0,14249.9052734375,0.21110780537128448,0.08219368010759354,0.2203902006149292
141578,58.0,14595.287109375,0.22362124919891357,0.08628936111927032,0.2116844207048416
144019,59.0,15915.232421875,0.2327454388141632,0.09122517704963684,0.19778019189834595
146460,60.0,14809.3642578125,0.22127075493335724,0.0868944600224495,0.21679604053497314
148901,61.0,15799.064453125,0.22670410573482513,0.09036003798246384,0.20228426158428192
151342,62.0,14777.23828125,0.2002628594636917,0.07994329929351807,0.21643485128879547
153783,63.0,15331.1669921875,0.20753589272499084,0.08324885368347168,0.20334915816783905
156224,64.0,15016.89453125,0.20138268172740936,0.0809834748506546,0.2090805321931839
158665,65.0,15198.3251953125,0.20428554713726044,0.08322884887456894,0.2149820476770401
161106,66.0,15344.2763671875,0.20214390754699707,0.08117350935935974,0.20509928464889526
163547,67.0,16103.4443359375,0.22245576977729797,0.09141521155834198,0.20017047226428986
165988,68.0,14677.283203125,0.20331303775310516,0.08541921526193619,0.21661582589149475
168429,69.0,14201.31640625,0.19120515882968903,0.08080344647169113,0.2165413498878479
170870,70.0,11084.033203125,0.1359620988368988,0.056079331785440445,0.2745201885700226
173311,71.0,13192.056640625,0.1754855513572693,0.07099681347608566,0.24177563190460205
175752,72.0,16534.818359375,0.23324452340602875,0.09717117249965668,0.19201189279556274
178193,73.0,17301.873046875,0.24220354855060577,0.10399730503559113,0.18704283237457275
180634,74.0,16625.828125,0.22365793585777283,0.09711615741252899,0.19808480143547058
183075,75.0,15172.982421875,0.20331794023513794,0.08873976767063141,0.21338307857513428
185516,76.0,13376.1982421875,0.17189137637615204,0.07379227876663208,0.25009772181510925
187957,77.0,13631.0107421875,0.1716982126235962,0.07286212593317032,0.265474796295166
190398,78.0,15564.58984375,0.21914629638195038,0.09459573775529861,0.2161051481962204
192839,79.0,14156.5947265625,0.191642627120018,0.08160857856273651,0.2264440804719925
195280,80.0,13890.587890625,0.1739058643579483,0.0750424861907959,0.23700149357318878
197721,81.0,15213.767578125,0.19364725053310394,0.08239871263504028,0.21493181586265564
200162,82.0,13917.1298828125,0.19042940437793732,0.08033336699008942,0.22596295177936554
202603,83.0,13767.5830078125,0.18646791577339172,0.07769792526960373,0.2348378747701645
205044,84.0,14154.1943359375,0.19481800496578217,0.0829387977719307,0.22419434785842896
207485,85.0,12651.3759765625,0.1835259348154068,0.07623268663883209,0.23089998960494995
209926,86.0,13736.7275390625,0.18475216627120972,0.07660774886608124,0.21754221618175507
212367,87.0,14030.0283203125,0.1736392080783844,0.07175694406032562,0.22625690698623657
214808,88.0,12683.2373046875,0.1769801825284958,0.07306215912103653,0.23990663886070251
217249,89.0,13750.9677734375,0.18964195251464844,0.08053839951753616,0.23821870982646942
219690,90.0,14424.201171875,0.18772950768470764,0.07942821830511093,0.22653405368328094
222131,91.0,16183.6953125,0.20665805041790009,0.08909982442855835,0.20987971127033234
224572,92.0,16018.357421875,0.21394750475883484,0.09169025719165802,0.21459470689296722
227013,93.0,16608.421875,0.23216716945171356,0.1010168120265007,0.20294301211833954
229454,94.0,15672.255859375,0.23165884613990784,0.10287211835384369,0.20865097641944885
231895,95.0,15544.4814453125,0.23599135875701904,0.10553256422281265,0.20948942005634308
234336,96.0,15466.5498046875,0.22924301028251648,0.10321717709302902,0.21297010779380798
236777,97.0,14968.9326171875,0.21653960645198822,0.09703614562749863,0.2148556411266327
239218,98.0,14989.19921875,0.2021821290254593,0.08963991701602936,0.2255069464445114
